Country,Year,Emissions,Income
El Salvador,1967,0.342,4440
El Salvador,1968,0.362,4480
El Salvador,1969,0.333,4520
El Salvador,1970,0.389,4520
El Salvador,1971,0.401,4660
El Salvador,1972,0.434,4860
El Salvador,1973,0.496,5040
Equatorial Guinea,1963,0.0965,1730
Equatorial Guinea,1964,0.0949,1970
Equatorial Guinea,1965,0.106,2210
Equatorial Guinea,1966,0.0905,2270
Equatorial Guinea,1967,0.088,2390
Equatorial Guinea,1968,0.098,2440
Equatorial Guinea,1969,0.145,2340
Equatorial Guinea,1970,0.121,2250
Equatorial Guinea,1971,0.221,2300
Equatorial Guinea,1972,0.304,2300
Equatorial Guinea,1973,0.106,2500
Estonia,1963,9.66,7690
Estonia,1964,10.2,8590
Estonia,1965,10.6,8980
Estonia,1966,11.1,9330
Estonia,1967,11.5,9660
Estonia,1968,11.7,10100
Estonia,1969,12.1,10200
Estonia,1970,12.6,10900
Estonia,1971,13.2,11100
Estonia,1972,13.8,11100
Estonia,1973,14.3,11900
Ethiopia,1963,0.0177,924
Ethiopia,1964,0.0167,940
Ethiopia,1965,0.0258,967
Ethiopia,1966,0.0322,975
Ethiopia,1967,0.0409,986
Ethiopia,1968,0.0641,971
Ethiopia,1969,0.0603,977
Ethiopia,1970,0.0582,1000
Ethiopia,1971,0.0633,1010
Ethiopia,1972,0.0467,1030
Ethiopia,1973,0.0565,1030
Fiji,1963,0.555,4670
Fiji,1964,0.944,4750
Fiji,1965,0.743,4490
Fiji,1966,0.677,4390
Fiji,1967,0.729,4870
Fiji,1968,0.793,5160
Fiji,1969,0.849,5170
Fiji,1970,1,5650
Fiji,1971,1.03,5890
Fiji,1972,1.07,6210
Fiji,1973,1.14,6770
Finland,1963,4.28,13000
Finland,1964,5.02,13600
Finland,1965,5.54,14300
Finland,1966,6.44,14700
Finland,1967,6.24,14900
Finland,1968,7.25,15200
Finland,1969,8.24,16700
Finland,1970,8.76,18100
Finland,1971,8.76,18500
Finland,1972,9.49,19800
Finland,1973,10.6,21000
France,1963,7.03,15500
France,1964,7.18,16400
France,1965,7.23,17100
France,1966,7.07,17800
France,1967,7.51,18500
France,1968,7.7,19200
France,1969,8.22,20400
France,1970,8.67,21400
France,1971,9.06,22200
France,1972,9.35,23000
France,1973,9.96,24100
Gabon,1963,0.142,7710
Gabon,1964,0.363,8520
Gabon,1965,0.406,9180
Gabon,1966,0.702,8900
Gabon,1967,1.83,10000
Gabon,1968,3.47,10200
Gabon,1969,2.48,11200
Gabon,1970,3.53,12000
Gabon,1971,4.74,12900
Gabon,1972,4.48,14100
Gabon,1973,8.53,15300
Gambia,1963,0.0757,1490
Gambia,1964,0.0741,1560
Gambia,1965,0.0724,1690
Gambia,1966,0.0794,1940
Gambia,1967,0.0774,1960
Gambia,1968,0.0836,1950
Gambia,1969,0.106,2120
Gambia,1970,0.103,1870
Gambia,1971,0.115,1830
Gambia,1972,0.134,1790
Gambia,1973,0.123,1920
Georgia,1963,3.04,5670
Georgia,1964,3.18,6350
Georgia,1965,3.31,6670
Georgia,1966,3.44,7120
Georgia,1967,3.54,7520
Georgia,1968,3.58,7810
Georgia,1969,3.68,8140
Georgia,1970,3.82,9070
Georgia,1971,4.02,9230
Georgia,1972,4.2,9440
Georgia,1973,4.35,9990
Germany,1963,12.6,15900
Germany,1964,12.8,16900
Germany,1965,12.6,17700
Germany,1966,12.4,18200
Germany,1967,12.1,18400
Germany,1968,12.7,19500
Germany,1969,13.5,20800
Germany,1970,13.1,21700
Germany,1971,13.2,22400
Germany,1972,13.2,23300
Germany,1973,13.8,24500
Ghana,1963,0.236,2660
Ghana,1964,0.219,2670
Ghana,1965,0.22,2680
Ghana,1966,0.181,2620
Ghana,1967,0.184,2610
Ghana,1968,0.212,2590
Ghana,1969,0.198,2620
Ghana,1970,0.3,2830
Ghana,1971,0.256,2990
Ghana,1972,0.262,2830
Ghana,1973,0.261,2840
Greece,1963,1.46,7340
Greece,1964,1.57,7990
Greece,1965,2.01,8780
Greece,1966,2.2,9340
Greece,1967,2.29,9830
Greece,1968,2.6,10600
Greece,1969,2.96,11700
Greece,1970,2.79,12700
Greece,1971,3.19,13700
Greece,1972,3.59,15400
Greece,1973,4.2,16100
Grenada,1963,0.157,2300
Grenada,1964,0.234,2350
Grenada,1965,0.233,2410
Grenada,1966,0.309,2460
Grenada,1967,0.386,2520
Grenada,1968,0.425,2580
Grenada,1969,0.503,2640
Grenada,1970,0.466,2700
Grenada,1971,0.506,2920
Grenada,1972,0.507,3160
Grenada,1973,0.587,3460
Guatemala,1963,0.331,4340
Guatemala,1964,0.374,4390
Guatemala,1965,0.406,4480
Guatemala,1966,0.347,4620
Guatemala,1967,0.384,4700
Guatemala,1968,0.403,5000
Guatemala,1969,0.417,5110
Guatemala,1970,0.409,5280
Guatemala,1971,0.422,5430
Guatemala,1972,0.456,5680
Guatemala,1973,0.481,5910
Guinea,1963,0.19,1650
Guinea,1964,0.187,1500
Guinea,1965,0.183,1540
Guinea,1966,0.186,1550
Guinea,1967,0.184,1490
Guinea,1968,0.186,1470
Guinea,1969,0.183,1410
Guinea,1970,0.191,1260
Guinea,1971,0.193,1310
Guinea,1972,0.194,1320
Guinea,1973,0.184,1320
Guinea-Bissau,1963,0.0751,1260
Guinea-Bissau,1964,0.0914,1380
Guinea-Bissau,1965,0.102,1460
Guinea-Bissau,1966,0.1,1510
Guinea-Bissau,1967,0.0712,1560
Guinea-Bissau,1968,0.0916,1620
Guinea-Bissau,1969,0.0847,1710
Guinea-Bissau,1970,0.0988,1810
Guinea-Bissau,1971,0.102,1750
Guinea-Bissau,1972,0.0901,1870
Guinea-Bissau,1973,0.147,1890
Guyana,1963,0.99,3140
Guyana,1964,1.02,3460
Guyana,1965,1.65,3780
Guyana,1966,1.78,3940
Guyana,1967,1.96,4070
Guyana,1968,1.94,4080
Guyana,1969,1.97,4330
Guyana,1970,2.24,4500
Guyana,1971,2.1,4650
Guyana,1972,2.16,4580
Guyana,1973,2.47,4690
Haiti,1963,0.0608,2120
Haiti,1964,0.0719,2090
Haiti,1965,0.0714,2120
Haiti,1966,0.0701,2120
Haiti,1967,0.0588,2090
Haiti,1968,0.0585,2180
Haiti,1969,0.0686,2260
Haiti,1970,0.0823,2370
Haiti,1971,0.0847,2550
Haiti,1972,0.081,2590
Haiti,1973,0.0857,2710
Honduras,1963,0.321,2570
Honduras,1964,0.317,2620
Honduras,1965,0.32,2760
Honduras,1966,0.334,2840
Honduras,1967,0.352,2910
Honduras,1968,0.478,2990
Honduras,1969,0.446,2920
Honduras,1970,0.511,2930
Honduras,1971,0.475,2960
Honduras,1972,0.533,3030
Honduras,1973,0.509,3160
"Hong Kong, China",1963,1.28,7330
"Hong Kong, China",1964,1.25,7630
"Hong Kong, China",1965,1.39,8460
"Hong Kong, China",1966,1.46,8420
"Hong Kong, China",1967,1.67,8460
"Hong Kong, China",1968,1.68,8670
"Hong Kong, China",1969,2.05,9580
"Hong Kong, China",1970,2.18,10300
"Hong Kong, China",1971,2.34,10900
"Hong Kong, China",1972,2.34,11800
"Hong Kong, China",1973,2.3,12900
Hungary,1963,5.57,8000
Hungary,1964,6.16,8560
Hungary,1965,6.03,8750
Hungary,1966,6.05,9370
Hungary,1967,5.74,10000
Hungary,1968,5.94,10300
Hungary,1969,6.04,10700
Hungary,1970,6.75,10800
Hungary,1971,6.66,11400
Hungary,1972,6.66,11800
Hungary,1973,6.99,12600
Iceland,1963,7.01,14400
Iceland,1964,6.91,15600
Iceland,1965,7.26,16500
Iceland,1966,7.67,17600
Iceland,1967,7.32,17100
Iceland,1968,7.99,16000
Iceland,1969,6.26,16200
Iceland,1970,6.8,17400
Iceland,1971,7.11,19500
Iceland,1972,7.07,20400
Iceland,1973,8.23,21500
India,1963,0.322,1410
India,1964,0.308,1470
India,1965,0.333,1370
India,1966,0.337,1340
India,1967,0.331,1410
India,1968,0.352,1400
India,1969,0.351,1450
India,1970,0.351,1470
India,1971,0.362,1440
India,1972,0.374,1390
India,1973,0.376,1410
Indonesia,1963,0.24,1810
Indonesia,1964,0.229,1830
Indonesia,1965,0.246,1810
Indonesia,1966,0.227,1780
Indonesia,1967,0.232,1700
Indonesia,1968,0.254,1820
Indonesia,1969,0.299,2010
Indonesia,1970,0.312,2170
Indonesia,1971,0.331,2240
Indonesia,1972,0.358,2430
Indonesia,1973,0.396,2730
Iran,1963,1.75,4640
Iran,1964,1.96,4880
Iran,1965,2.15,5370
Iran,1966,2.5,5800
Iran,1967,2.58,6330
Iran,1968,3.05,7140
Iran,1969,2.99,7920
Iran,1970,3.22,8590
Iran,1971,3.47,9480
Iran,1972,3.53,10800
Iran,1973,4.19,11500
Iraq,1963,1.19,5320
Iraq,1964,1.12,5770
Iraq,1965,2.31,6090
Iraq,1966,3.2,6210
Iraq,1967,2.06,5860
Iraq,1968,2.13,6680
Iraq,1969,2.36,6680
Iraq,1970,2.41,6440
Iraq,1971,2.81,6610
Iraq,1972,2.79,6160
Iraq,1973,2.8,6950
Ireland,1963,4.8,9120
Ireland,1964,5.06,9490
Ireland,1965,4.86,9680
Ireland,1966,5.33,9800
Ireland,1967,5.76,10400
Ireland,1968,6.23,11300
Ireland,1969,6.43,12000
Ireland,1970,6.67,12300
Ireland,1971,7.64,12700
Ireland,1972,7.38,13400
Ireland,1973,7.54,13900
Israel,1963,3.53,10300
Israel,1964,3.79,10900
Israel,1965,5.2,11600
Israel,1966,5.31,11400
Israel,1967,5.17,11500
Israel,1968,5.16,12900
Israel,1969,5.41,14200
Israel,1970,5.89,14900
Israel,1971,5.6,16000
Israel,1972,5.64,17400
Israel,1973,6.22,17700
Italy,1963,3.24,13700
Italy,1964,3.43,14300
Italy,1965,3.67,14600
Italy,1966,4.11,15300
Italy,1967,4.47,16400
Italy,1968,4.72,17800
Italy,1969,5.08,18800
Italy,1970,5.54,19300
Italy,1971,5.78,19600
Italy,1972,6.05,20200
Italy,1973,6.47,21500
Jamaica,1963,1.41,5220
Jamaica,1964,2.35,5540
Jamaica,1965,1.7,5900
Jamaica,1966,1.98,6060
Jamaica,1967,2.14,6200
Jamaica,1968,2.13,6450
Jamaica,1969,2.31,6880
Jamaica,1970,2.66,7670
Jamaica,1971,3.02,7630
Jamaica,1972,3.25,7790
